OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,GEOID,poverty_percent,Education,race_otherwhite,GT65_ALN_HSHLD,HSHLD_alone,POP_TOTAL,MED_AGE_T,M___65,F___65,M____5,F____5,gt_65_percent,Shape_Length,Shape_Area
21,25,021,401100,2,250214011002,Block Group 2,10664222.12,244.8169,1075,371,15000US250214011002,0.0281810418445773,0.0232558139534884,0.152155536770921,0.102857142857143,0.154285714285714,1075,43.4,77,91,39,41,0.156279069767442,4524.10675135796,990742.611322873
20,25,021,401000,3,250214010003,Block Group 3,2477288.9,56.8707,1555,697,15000US250214010003,0.22707182320442,0.057609630266552,0.261325966850829,0.0975975975975976,0.283783783783784,1555,35.5,59,108,61,56,0.107395498392283,2558.64934898383,230148.575076375
23,25,021,400300,1,250214003001,Block Group 1,1028076.63,23.6014,936,384,15000US250214003001,0.105785123966942,0.00915032679738562,0.113223140495868,0.046070460704607,0.219512195121951,936,29.9,37,34,26,29,0.0758547008547008,1418.86849363931,95511.8334881508
22,25,021,401100,3,250214011003,Block Group 3,7469262.14,171.4707,1486,516,15000US250214011003,0.0239445494643982,0.0120147874306839,0.1411468178954,0.0550098231827112,0.155206286836935,1486,39.5,86,92,53,73,0.11978465679677,3625.73219547817,693919.930320718
9,25,021,400300,2,250214003002,Block Group 2,1982135.21,45.5036,1615,710,15000US250214003002,0.136723910171731,0.00567644276253548,0.250642673521851,0.0724852071005917,0.306213017751479,1615,30.6,65,72,52,50,0.0848297213622291,2035.82759573768,184147.127013135
8,25,021,400200,2,250214002002,Block Group 2,2366975.94,54.3383,2835,1544,15000US250214002002,0.11170431211499,0.0459081836327345,0.290759753593429,0.130229419703104,0.431848852901485,2835,33.9,167,241,111,115,0.143915343915344,2354.54743914435,219900.13160014
11,25,021,400400,1,250214004001,Block Group 1,2498382.32,57.355,2198,1188,15000US250214004001,0.236664940445365,0.0497547302032235,0.200300450676014,0.272168568920105,0.512730465320457,2198,36.6,163,323,52,62,0.221110100090992,2941.18001147472,232108.235668511
10,25,021,400300,3,250214003003,Block Group 3,2650118.07,60.8383,1559,578,15000US250214003003,0.0694267515923567,0.0270541082164329,0.161146496815287,0.0827338129496403,0.212230215827338,1559,29.8,80,78,46,52,0.101347017318794,2346.54361956369,246205.009118592
13,25,021,400800,1,250214008001,Block Group 1,1813366.84,41.6292,1117,482,15000US250214008001,0.05,0.00783289817232376,0.369230769230769,0.0517241379310345,0.293103448275862,1117,32,34,49,41,42,0.0743061772605192,2516.14315773404,168467.961193857
12,25,021,400400,2,250214004002,Block Group 2,3528805.92,81.0102,2314,1320,15000US250214004002,0.157465728047425,0.00772002058672156,0.129677658391997,0.128184713375796,0.486464968152866,2314,33.8,113,201,57,76,0.135695764909248,3132.50240501168,327838.097514688
15,25,021,400900,3,250214009003,Block Group 3,1855578.83,42.5982,1648,694,15000US250214009003,0.0717761557177616,0.0151371807000946,0.187347931873479,0.0362537764350453,0.22809667673716,1648,30.8,40,62,48,55,0.0618932038834951,1668.63286748239,172389.59666702
14,25,021,400800,3,250214008003,Block Group 3,1968334.53,45.1867,2786,1358,15000US250214008003,0.184151283205763,0.029382957884427,0.216619604679306,0.203533026113671,0.470814132104455,2786,37.8,237,451,111,87,0.246949030868629,2231.95313712721,182864.997973314
1,25,021,400400,3,250214004003,Block Group 3,2254999.05,51.7677,937,361,15000US250214004003,0.0213160333642261,0.0364145658263305,0.194624652455978,0.0409356725146199,0.201754385964912,937,30,40,49,23,24,0.0949839914621131,1939.48856715975,209497.081679609
3,25,021,400100,1,250214001001,Block Group 1,1735319.7,39.8375,510,233,15000US250214001001,0.20631970260223,0,0.2,0.0416666666666667,0.324074074074074,510,28.3,20,16,9,8,0.0705882352941176,1797.12495971734,161217.126135663
2,25,021,400100,4,250214001004,Block Group 4,3850030.93,88.3845,1628,734,15000US250214001004,0.256209150326797,0.0903155603917301,0.180769230769231,0.0745428973277075,0.315049226441632,1628,32.6,98,103,43,32,0.123464373464373,2791.36662117717,357681.029241467
5,25,021,400100,2,250214001002,Block Group 2,1446820.83,33.2144,1033,505,15000US250214001002,0.185754189944134,0.0377019748653501,0.257378984651712,0.0845360824742268,0.581443298969072,1033,31.1,58,60,23,20,0.114230396902227,1905.33144416515,134414.584918149
4,25,021,400100,3,250214001003,Block Group 3,2405699.76,55.2273,1806,1039,15000US250214001003,0.155236576289208,0.0383444917833232,0.164029535864979,0.138580931263858,0.437915742793792,1806,33.8,114,143,57,64,0.142303433001107,2009.42142277561,223497.708191786
7,25,021,400200,3,250214002003,Block Group 3,2030925.37,46.6236,1653,696,15000US250214002003,0.137651821862348,0.0285714285714286,0.218291054739653,0.0299850074962519,0.244377811094453,1653,29.5,43,67,65,54,0.0665456745311555,2236.70616671054,188679.883006885
6,25,021,400200,1,250214002001,Block Group 1,1338757,30.7336,1644,714,15000US250214002001,0.371638141809291,0.0201238390092879,0.336185819070905,0.036231884057971,0.240579710144928,1644,22.3,29,43,36,39,0.0437956204379562,1490.74461203053,124375.087754561
33,25,021,400600,3,250214006003,Block Group 3,5524166.33,126.8174,870,257,15000US250214006003,0.0179573512906846,0,0.161389172625128,0.0580912863070539,0.128630705394191,870,35.2,67,61,20,17,0.147126436781609,3212.66173430459,513213.887227088
32,25,021,400600,2,250214006002,Block Group 2,5800018.15,133.1501,2883,1290,15000US250214006002,0.0917639429312581,0,0.258430609597925,0.0883306320907618,0.305510534846029,2883,34.8,169,195,101,119,0.126257370794311,4870.8945007204,538841.478605245
35,25,021,400700,3,250214007003,Block Group 3,2468160.81,56.6612,958,359,15000US250214007003,0.0788113695090439,0.0467937608318891,0.191815856777494,0.0426136363636364,0.139204545454545,958,39.4,52,51,31,27,0.107515657620042,1995.76786899291,229300.559625824
34,25,021,400600,1,250214006001,Block Group 1,1882579.35,43.2181,1424,671,15000US250214006001,0.113504556752278,0,0.109362054681027,0.0436817472698908,0.326053042121685,1424,31.9,49,60,40,40,0.0765449438202247,2180.62135976296,174898.057513639
37,25,021,400700,1,250214007001,Block Group 1,2348238.97,53.9081,1296,551,15000US250214007001,0.0188976377952756,0,0.253543307086614,0.0560747663551402,0.252336448598131,1296,33.9,54,65,57,52,0.091820987654321,2187.71579365781,218159.412777099
36,25,021,400700,2,250214007002,Block Group 2,1709082.12,39.2351,1344,532,15000US250214007002,0.0895522388059701,0,0.220149253731343,0.0389863547758285,0.206627680311891,1344,30.1,38,31,51,49,0.0513392857142857,1950.79311516097,158779.57366362
38,25,021,400800,2,250214008002,Block Group 2,2379877.77,54.6345,1727,796,15000US250214008002,0.0796657381615599,0,0.223955431754875,0.073394495412844,0.289646133682831,1727,32.1,69,84,52,49,0.0885929357266937,2309.05326185333,221098.773231424
25,25,021,401200,1,250214012001,Block Group 1,42503167.47,975.7385,1849,665,15000US250214012001,0.0219414893617021,0.0578291814946619,0.333496332518337,0.160649819494585,0.287003610108303,1849,37.7,151,220,40,31,0.200648999459167,9816.31903750291,3948689.26433377
24,25,021,401100,1,250214011001,Block Group 1,27351116.05,627.8952,1880,742,15000US250214011001,0.0379041248606466,0.00486223662884927,0.151872755259107,0.225290697674419,0.338662790697674,1880,45.2,177,239,44,49,0.221276595744681,7409.75433699902,2541011.9969734
27,25,021,401200,2,250214012002,Block Group 2,8365823.06,192.0529,1308,476,15000US250214012002,0,0.0481099656357388,0.120033812341505,0.0881720430107527,0.204301075268817,1308,45.1,89,98,45,41,0.142966360856269,3929.48498113257,777213.51060023
26,25,021,401200,4,250214012004,Block Group 4,15895941.87,364.9206,1766,682,15000US250214012004,0.0427974947807933,0.0329760923330585,0.359081419624217,0.0855784469096672,0.175911251980983,1766,41.4,113,140,60,76,0.14326160815402,7502.84582543132,1476787.22945369
29,25,021,400500,1,250214005001,Block Group 1,1974537.61,45.3291,2419,1281,15000US250214005001,0.0622462787550744,0.0330484330484331,0.272440234551195,0.104013104013104,0.411138411138411,2419,32.2,136,188,73,90,0.133939644481191,2458.97415218471,183441.287492702
28,25,021,401200,3,250214012003,Block Group 3,5615021.28,128.9032,2108,822,15000US250214012003,0.047554347826087,0.038533250466128,0.177536231884058,0.0786369593709043,0.204456094364351,2108,37,97,107,102,95,0.0967741935483871,4308.33774012109,521654.637998998
31,25,021,400500,3,250214005003,Block Group 3,2699828.72,61.9795,1483,690,15000US250214005003,0.157823129251701,0.0337078651685393,0.115646258503401,0.0541795665634675,0.284829721362229,1483,32,65,74,53,40,0.0937289278489548,2593.97793057026,250823.298474465
30,25,021,400500,2,250214005002,Block Group 2,1328934.51,30.5081,1271,542,15000US250214005002,0.242323097463284,0.0826359832635983,0.246995994659546,0.0230326295585413,0.289827255278311,1271,31.6,37,52,39,43,0.0700236034618411,2013.23577604276,123462.55800046
17,25,021,400900,1,250214009001,Block Group 1,1258088.78,28.8817,1668,996,15000US250214009001,0.137656427758817,0.0150214592274678,0.381489841986456,0.130663856691254,0.54899894625922,1668,37.4,109,156,58,56,0.158872901678657,2028.11224552799,116880.741617474
16,25,021,400900,2,250214009002,Block Group 2,1033048.27,23.7155,549,327,15000US250214009002,0.295321637426901,0.0496031746031746,0.529239766081871,0.306748466257669,0.588957055214724,549,53.8,52,132,10,11,0.335154826958106,1691.11402535955,95973.7044751182
19,25,021,401000,2,250214010002,Block Group 2,2539448.4,58.2977,666,271,15000US250214010002,0,0,0.062124248496994,0.0784313725490196,0.207843137254902,666,39.8,44,48,22,31,0.138138138138138,2600.79568240525,235923.448259228
18,25,021,401000,1,250214010001,Block Group 1,1878936.6,43.1344,928,374,15000US250214010001,0.139902676399027,0,0.250608272506083,0.0714285714285714,0.205714285714286,928,34.6,39,43,38,23,0.0883620689655172,2512.45180639811,174559.601240262
